id,name,url,category,collection,collection_id,description,price,currency,published_at,tags,image_url,likes_count,is_free,status
154599,Female Goblin Mulan,https://www.myminifactory.com/object/3d-print-female-goblin-mulan-154599,Fantasy,Green Skins Army,1092313,https://www.patreon.com/Kyoushuneko_Miniatures,2.99,USD,2021-02-18T09:09:32+00:00,"chinese, fantasy, female, goblin, japanese, warrior, DnD, swordsman, KoW",https://dl2.myminifactory.com/object-assets/602d1eec67d28/images/720X720-female-goblin-mulan.jpg,13,False,approved
154598,Japanese Dwarf Rune Lord,https://www.myminifactory.com/object/3d-print-japanese-dwarf-rune-lord-154598,Fantasy,Dwarf Army (9th Age / WP),1092323,https://www.patreon.com/Kyoushuneko_Miniatures,3.99,USD,2021-02-18T09:09:33+00:00,"japanese, monk, Lord, priest, dwarf, Rune, samurai, Sigmar, KoW, shinto",https://dl2.myminifactory.com/object-assets/602d0fb5053e1/images/720X720-dwarf-rune-lord.jpg,68,False,approved
154499,Dwarf Assault Crew A,https://www.myminifactory.com/object/3d-print-dwarf-assault-crew-a-154499,Sci-Fi,Cyberpunk Squat Dwarves (Grimdark),1326447,https://www.patreon.com/Kyoushuneko_Miniatures,2.99,USD,2021-02-17T09:11:41+00:00,"scifi, dwarf, cyberpunk, squat, Swat",https://dl2.myminifactory.com/object-assets/602c04e9d5ce9/images/720X720-dwarf-assault-crew-a.jpg,29,False,approved
154498,HDC Recon Crawler,https://www.myminifactory.com/object/3d-print-hdc-recon-crawler-154498,Sci-Fi,Scifi,2050905,https://www.patreon.com/Kyoushuneko_Miniatures,2.99,USD,2021-02-17T09:11:42+00:00,"robot, drone, scifi, cyberpunk, Scout",https://dl2.myminifactory.com/object-assets/602c042f25e8d/images/720X720-hdc-recon-crawler.jpg,48,False,approved
154497,HDC Light Sentinel 4,https://www.myminifactory.com/object/3d-print-hdc-light-sentinel-4-154497,Sci-Fi,Scifi,2050905,https://www.patreon.com/Kyoushuneko_Miniatures,2.99,USD,2021-02-17T09:11:42+00:00,"assault, droid, guard, soldier, rifle, scifi, mech, cyberpunk",https://dl2.myminifactory.com/object-assets/602c036c735c2/images/720X720-hdc-light-sentinel-04.jpg,29,False,approved
154495,HDC Light Sentinel 3,https://www.myminifactory.com/object/3d-print-hdc-light-sentinel-3-154495,Sci-Fi,Scifi,2050905,https://www.patreon.com/Kyoushuneko_Miniatures,2.99,USD,2021-02-17T09:11:43+00:00,"droid, guard, robot, soldier, scifi, mech, cyberpunk, sentry",https://dl2.myminifactory.com/object-assets/602c02f34e254/images/720X720-hdc-light-sentinel-03.jpg,35,False,approved
154491,HDC Light Sentinel 2,https://www.myminifactory.com/object/3d-print-hdc-light-sentinel-2-154491,Sci-Fi,Scifi,2050905,https://www.patreon.com/Kyoushuneko_Miniatures,2.99,USD,2021-02-17T09:11:44+00:00,"droid, robot, soldier, scifi, mech, cyberpunk, Shadowrun, hitech",https://dl2.myminifactory.com/object-assets/602c02617d586/images/720X720-hdc-light-sentinel-02.jpg,36,False,approved
154489,HDC Light Sentinel 1,https://www.myminifactory.com/object/3d-print-hdc-light-sentinel-1-154489,Sci-Fi,Scifi,2050905,https://www.patreon.com/Kyoushuneko_Miniatures,2.99,USD,2021-02-17T09:11:44+00:00,"droid, soldier, scifi, mech, cyberpunk, Shadowrun",https://dl2.myminifactory.com/object-assets/602c019d4fdde/images/720X720-hdc-light-sentinel-01.jpg,36,False,approved
154485,HDC Heavy Sentinel,https://www.myminifactory.com/object/3d-print-hdc-heavy-sentinel-154485,Sci-Fi,Scifi,2050905,https://www.patreon.com/Kyoushuneko_Miniatures,3.99,USD,2021-02-17T09:11:45+00:00,"droid, robot, wargaming, mech, sentinel, cyberpunk, sentry",https://dl2.myminifactory.com/object-assets/602c010279817/images/720X720-hdc-heavy-sentinel.jpg,32,False,approved
154484,Elf Death Shooter Lucca - Monobike,https://www.myminifactory.com/object/3d-print-elf-death-shooter-lucca-monobike-154484,Sci-Fi,Scifi,2050905,https://www.patreon.com/Kyoushuneko_Miniatures,6.99,USD,2021-02-17T09:11:46+00:00,"bike, cute, elf, girl, vehicle, dwarf, cyberpunk, Shadowrun, Monobike",https://dl2.myminifactory.com/object-assets/602c007cde7ca/images/720X720-elf-death-shooter-lucca-mounted.jpg,40,False,approved
154482,Elf Death Shooter Lucca,https://www.myminifactory.com/object/3d-print-elf-death-shooter-lucca-154482,Sci-Fi,Scifi,2050905,https://www.patreon.com/Kyoushuneko_Miniatures,4.00,USD,2021-02-17T09:11:46+00:00,"cute, elf, girl, character, painting, Shooter, cannon, laser, cyberpunk, Shadowrun",https://dl2.myminifactory.com/object-assets/602bffbd84135/images/720X720-elf-death-shooter-lucca.jpg,29,False,approved
154481,Dwarf Male Street Mercenary,https://www.myminifactory.com/object/3d-print-dwarf-male-street-mercenary-154481,Sci-Fi,Cyberpunk Squat Dwarves (Grimdark),1326447,https://www.patreon.com/Kyoushuneko_Miniatures,2.99,USD,2021-02-17T09:11:46+00:00,"dwarf, cyberpunk, Shadowrun",https://dl2.myminifactory.com/object-assets/602bff26599c4/images/720X720-dwarf-male-street-mercenary.jpg,34,False,approved
154480,Dwarf Female Street Mercenary B,https://www.myminifactory.com/object/3d-print-dwarf-female-street-mercenary-b-154480,Sci-Fi,Cyberpunk Squat Dwarves (Grimdark),1326447,https://www.patreon.com/Kyoushuneko_Miniatures,2.99,USD,2021-02-17T09:11:47+00:00,"street, dwarf, cyberpunk, squat, Shadowrun",https://dl2.myminifactory.com/object-assets/602bfe8364a3a/images/720X720-dwarf-street-mercenary-female-b.jpg,31,False,approved
